University,Campus,Co-ordinates,Surrounding Suburbs
RMIT,Brunswick,"-37.77205196041036, 144.9580866977185",Brunswick West,parkville,Princess hill,Carlton North,Carlton,Melbourne,North Melbourne,Kensington,Flemington,Ascot Vale,Moonee ponds,Essendon,Pascoe vale south,coburg,thornbury,brunswick east,fitzroy north,fitzroy,collingwood,west melbourne
RMIT,Bundoora,"-37.68018469176766, 145.0649914606774",Reservoir,Lalor,Carlingford,Regent West,Preston West,Preston South,Thomastown,Kingsbury,Heidelberg West,Mill Park,Macleod,Watsonia North,Watsonia,Greensborough,Plenty,Yarrambat,South Morang,Epping,Yallambie,Preston
Swinburne University of Technology,Croydon,"-37.801414707258786, 145.28651001624888",croydon south,kilsyth,moorolbark,croydon north,croydon hills,ringwood,ringwood east,heathmont,bayswater north,kilsyth south,mooralbark,warranwood,ringwood north,chirnside park,wonga park,park orchards,lilydale,montrose,wantirna,bayswater
Swinburne University of Technology,Wantirna,"-37.873854597806485, 145.2345609199569",vermont,bayswater,heathmont,boronia,wantirna south,knoxfield,ferntree gully,mount waverley,vermont south,ringwood,glen waverely,scoresby,forest hill,nunawading,mitcham,wheelers hill,rowville,bayswater north,kilsyth south,burwood east
Torrens University of Australia,Flinders street,"-37.816961251300555, 144.96886458185423",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
University of Melbourne,Burnley,"-37.82803219862564, 145.02254819349332",Toorak,hawthorn,Richmond,Hawthorn East,Balwyn,Balwyn North,Kooyong,Camberwell,Canterbury,Surrey Hills,Kew,Abbotsford,Melbourne,South Yarra,Malvern,Cremorne,Armadale,Glen Iris,Kew East,Mont Albert
University of Melbourne,Werribee,"-37.889698469796265, 144.69298417846008",werribee south,wyndham vale,hopper crossing,point cook,tarneit,truganina,williams landing,seabrook,altona meadows,laverton,altona,altona north,laverton north,derrimut,sunshine west,manor lakes,seaholme,brooklyn,deer park,burnside
University of Melbourne,Southbank,"-37.8246373844401, 144.96869864716984",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,Flinders Street,"-37.81804718124634, 144.96408465539227",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,Flinders Lane,"-37.81730611820295, 144.9649222046106",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,King,"-37.81467245887584, 144.95535419719883",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,Queen,"-37.81226835518794, 144.9606439585769",East Melbourne,South Yarra,Albert Park,Middle park,South Melbourne,Port Melbourne,Docklands,East Melbourne,West Melbourne,North Melbourne,Kensington,Parkville,Carlton,Fitzroy,Collingwood,Abbotsford,Richmond,Hawthorn,Flemington,Footscray
Victoria University,Footscray Nicholson,"-37.80450587975402, 144.89848879771955",seddon,west footscray,kingsville,yarraville,west melbourne,tottenham,brooklyn,maribyrong,maidstone,braybrook,kensington,flemington,north melbourne,melbourne,docklands,southbank,south yarra,spotswood,altona north,sunshine west
Victoria University,St Albans,"-37.7522230651568, 144.79803721491538",keilor downs,taylors hills,burnside heights,kings park,albanvale,cairnlea,ardeer,albion,sunshine,sunshine north,burnside,delahey,keilor,keilor park,keilor east,avondale heights,maidstone,hillside,caroline springs,deer park
Victoria University,Sunshine,"-37.77716537847656, 144.83542897258846",burnside,delahey,keilor,keilor park,keilor east,avondale heights,maidstone,hillside,caroline springs,deer park,footscray,yarravile,newport,altona north,laverton north,derrimut,essendon west,maribyrong,ascot vale,seddon
Victoria University,Werribee,"-37.894522279493216, 144.70229128237773",werribee south,wyndham vale,hopper crossing,point cook,tarneit,truganina,williams landing,seabrook,altona meadows,laverton,altona,altona north,laverton north,derrimut,sunshine west,manor lakes,seaholme,brooklyn,deer park,burnside
