sal_code,sal_name,population,median_weekly_rent,crime_incidents,crime_rate,train_station,num_stops,transport_frequency
SAL20189,Belgrave Heights,1398,373,16,0.011444921316165951,0,8,528
SAL20190,Belgrave South,1670,450,55,0.03293413173652695,0.5,15,528
SAL20191,Bell Park,5602,340,415,0.07408068546947519,0,22,293
SAL20192,Bell Post Hill,5083,350,257,0.05056069250442652,0,25,287
SAL20193,Bellarine,169,350,15,0.08875739644970414,0,8,108
SAL20194,Bellbird Creek,5,0,2,0.4,0,0,0
SAL20195,Bellbrae,1346,380,31,0.023031203566121844,0,12,237
SAL20196,Bellbridge,393,308,14,0.035623409669211195,0,0,0
SAL20197,Bellellen,59,0,0,0.0,0,0,0
SAL20198,Bellfield,1996,375,124,0.06212424849699399,0,0,0
SAL20199,Bellfield,0,0,124,0,0,0,0
SAL20200,Bells Beach,151,525,10,0.06622516556291391,0,0,0
SAL20201,Belmont,15066,350,1085,0.0720164609053498,0,62,719
SAL20202,Bemm River,72,220,15,0.20833333333333334,0,2,65
SAL20203,Bena,303,285,87,0.2871287128712871,0,0,0
SAL20204,Benalla,10822,250,1322,0.12215856588430973,1,53,840
SAL20205,Benambra,173,150,5,0.028901734104046242,0,0,0
SAL20206,Benayeo,69,0,2,0.028985507246376812,0,0,0
SAL20207,Bend Of Islands,267,300,0,0.0,0,0,0
SAL20208,Bendigo,5652,290,2286,0.40445859872611467,1,75,2795
SAL20209,Bendoc,109,158,2,0.01834862385321101,0,0,0
SAL20210,Bengworden,93,300,6,0.06451612903225806,0,0,0
SAL20211,Benjeroop,56,0,3,0.05357142857142857,0,0,0
SAL20212,Benloch,138,417,2,0.014492753623188406,0,0,0
SAL20213,Bennison,42,0,0,0.0,0,0,0
SAL20214,Bentleigh,17921,480,846,0.04720718709893421,2,53,4735
SAL20215,Bentleigh East,30159,500,1004,0.03329022845585066,0.5,142,179
SAL20216,Benwerrin,9,0,1,0.1111111111111111,0,0,0
SAL20217,Beremboke,165,300,23,0.1393939393939394,0,0,0
SAL20218,Berrimal,52,20,0,0.0,0,0,0
SAL20219,Berringa,194,250,5,0.02577319587628866,0,0,0
SAL20220,Berringama,35,180,1,0.02857142857142857,0,0,0
SAL20221,Berriwillock,180,150,10,0.05555555555555555,0,4,43
SAL20222,Berrybank,37,200,6,0.16216216216216217,0,0,0
SAL20223,Berrys Creek,174,205,0,0.0,0,0,0
SAL20224,Berwick,50298,400,2157,0.04288440892281999,2,210,296
SAL20225,Bessiebelle,113,140,1,0.008849557522123894,0,0,0
SAL20226,Bet Bet,135,228,8,0.05925925925925926,0,0,0
SAL20227,Bete Bolong,84,125,3,0.03571428571428571,0,0,0
SAL20228,Bete Bolong North,13,0,1,0.07692307692307693,0,0,0
SAL20229,Bethanga,485,260,15,0.030927835051546393,0,0,0
SAL20230,Betley,101,193,1,0.009900990099009901,0,0,0
SAL20231,Beulah,312,78,13,0.041666666666666664,0,4,50
SAL20232,Beverford,337,150,26,0.0771513353115727,0,0,0
SAL20233,Beveridge,4642,400,291,0.06268849633778543,0,9,25
SAL20234,Big Desert,8,0,0,0.0,0,0,0
SAL20235,Big Hill,281,280,6,0.021352313167259787,0,0,0
SAL20236,Big Hill,38,275,6,0.15789473684210525,0,0,0
SAL20237,Big Pats Creek,60,185,1,0.016666666666666666,0,0,0
SAL20238,Biggara,61,0,0,0.0,0,0,0
SAL20239,Billabong,0,0,0,0,0,0,0
SAL20240,Bimbourie,11,50,0,0.0,0,0,0
SAL20241,Bindi,49,0,0,0.0,0,0,0
SAL20242,Binginwarri,134,250,3,0.022388059701492536,0,0,0
SAL20243,Bingo Munjie,8,0,0,0.0,0,0,0
SAL20244,Birchip,694,155,23,0.03314121037463977,0,2,125
SAL20245,Birchip West,9,0,0,0.0,0,0,0
SAL20246,Birdwoodton,748,300,12,0.016042780748663103,0,6,52
