sal_code,sal_name,population,median_weekly_rent
SAL20155,Barraport West,5,0
SAL20156,Barrys Reef,39,268
SAL20157,Barunah Park,33,0
SAL20158,Barunah Plains,10,0
SAL20159,Barwidgee,96,200
SAL20160,Barwite,269,250
SAL20161,Barwon Downs,136,230
SAL20162,Barwon Heads,4353,450
SAL20163,Basalt,23,0
SAL20164,Bass,405,225
SAL20165,Batesford,1141,325
SAL20166,Bathumi,76,250
SAL20167,Baw Baw,0,0
SAL20168,Baw Baw Village,30,0
SAL20169,Baxter,2166,360
SAL20170,Bayindeen,22,0
SAL20171,Bayles,445,425
SAL20172,Baynton,95,305
SAL20173,Bayswater,12262,375
SAL20174,Bayswater North,9014,360
SAL20175,Beaconsfield,7267,390
SAL20176,Beaconsfield Upper,2997,368
SAL20177,Bealiba,213,130
SAL20178,Bearii,167,185
SAL20179,Bears Lagoon,53,125
SAL20180,Beauchamp,44,185
SAL20181,Beaufort,1712,250
SAL20182,Beaumaris,13947,612
SAL20183,Beazleys Bridge,24,0
SAL20184,Beeac,394,220
SAL20185,Beech Forest,125,185
SAL20186,Beechworth,4274,300
SAL20187,Beenak,17,340
SAL20188,Belgrave,3894,401
SAL20189,Belgrave Heights,1398,373
SAL20190,Belgrave South,1670,450
SAL20191,Bell Park,5602,340
SAL20192,Bell Post Hill,5083,350
SAL20193,Bellarine,169,350
SAL20194,Bellbird Creek,5,0
SAL20195,Bellbrae,1346,380
SAL20196,Bellbridge,393,308
SAL20197,Bellellen,59,0
SAL20198,Bellfield,1996,375
SAL20199,Bellfield,0,0
SAL20200,Bells Beach,151,525
SAL20201,Belmont,15066,350
SAL20202,Bemm River,72,220
SAL20203,Bena,303,285
SAL20204,Benalla,10822,250
SAL20205,Benambra,173,150
SAL20206,Benayeo,69,0
SAL20207,Bend Of Islands,267,300
SAL20208,Bendigo,5652,290
SAL20209,Bendoc,109,158
SAL20210,Bengworden,93,300
SAL20211,Benjeroop,56,0
SAL20212,Benloch,138,417
SAL20213,Bennison,42,0
SAL20214,Bentleigh,17921,480
SAL20215,Bentleigh East,30159,500
SAL20216,Benwerrin,9,0
SAL20217,Beremboke,165,300
SAL20218,Berrimal,52,20
SAL20219,Berringa,194,250
SAL20220,Berringama,35,180
SAL20221,Berriwillock,180,150
SAL20222,Berrybank,37,200
SAL20223,Berrys Creek,174,205
SAL20224,Berwick,50298,400
SAL20225,Bessiebelle,113,140
SAL20226,Bet Bet,135,228
SAL20227,Bete Bolong,84,125
SAL20228,Bete Bolong North,13,0
SAL20229,Bethanga,485,260
SAL20230,Betley,101,193
SAL20231,Beulah,312,78
SAL20232,Beverford,337,150
SAL20233,Beveridge,4642,400
SAL20234,Big Desert,8,0
SAL20235,Big Hill,281,280
SAL20236,Big Hill,38,275
SAL20237,Big Pats Creek,60,185
SAL20238,Biggara,61,0
SAL20239,Billabong,0,0
SAL20240,Bimbourie,11,50
SAL20241,Bindi,49,0
SAL20242,Binginwarri,134,250
SAL20243,Bingo Munjie,8,0
SAL20244,Birchip,694,155
SAL20245,Birchip West,9,0
SAL20246,Birdwoodton,748,300
SAL20247,Birregurra,942,300
SAL20248,Bittern,4276,366
SAL20249,Black Hill,2124,290
SAL20250,Black Range,274,200
SAL20251,Black Rock,6389,541
SAL20252,Blackburn,14478,411
SAL20253,Blackburn North,7627,431
SAL20254,Blackburn South,10939,410
SAL20255,Blackwarry,38,0
SAL20256,Blackwood,387,305
SAL20257,Blairgowrie,2786,400
SAL20258,Blakeville,43,250
SAL20259,Blampied,237,325
SAL20260,Blind Bight,1290,360
SAL20261,Blowhard,82,150
SAL20262,Bo Peep,25,175
SAL20263,Bobinawarrah,100,300
SAL20264,Bochara,84,180
SAL20265,Bogong,8,180
SAL20266,Boho,88,0
SAL20267,Boho South,93,175
SAL20268,Boigbeat,19,150
SAL20269,Boinka,14,0
SAL20270,Boisdale,307,200
SAL20271,Bolangum,4,0
SAL20272,Bolinda,185,550
SAL20273,Bolton,15,0
SAL20274,Bolwarra,647,220
SAL20275,Bolwarrah,48,250
SAL20276,Bona Vista,107,285
SAL20277,Bonang,52,0
SAL20278,Bonbeach,6855,391
SAL20279,Bonegilla,610,225
SAL20280,Boneo,314,400
SAL20281,Bonn,48,0
SAL20282,Bonnie Brook,333,381
SAL20283,Bonnie Doon,666,296
SAL20284,Bonshaw,949,398
SAL20285,Bookaar,159,210
SAL20286,Boola,0,0
SAL20287,Boolarong,5,0
SAL20288,Boolarra,1023,218
SAL20289,Boolarra South,147,2077
SAL20290,Boole Poole,9,0
SAL20291,Boolite,38,100
SAL20292,Boomahnoomoonah,14,150
SAL20293,Boonah,18,350
SAL20294,Boorcan,142,250
SAL20295,Boorhaman,135,300
SAL20296,Boorhaman East,13,0
SAL20297,Boorhaman North,53,215
SAL20298,Boorolite,166,225
SAL20299,Boorool,54,92
SAL20300,Boort,940,180
SAL20301,Boosey,108,461
SAL20302,Boralma,79,290
SAL20303,Bornes Hill,33,65
SAL20304,Boronia,23607,376
SAL20305,Borung,59,300
SAL20306,Bostocks Creek,85,220
SAL20307,Botanic Ridge,6739,404
SAL20308,Boundary Bend,154,162
SAL20309,Bowenvale,209,295
SAL20310,Boweya,51,200
SAL20311,Boweya North,42,260
SAL20312,Bowmans Forest,106,160
SAL20313,Bowser,44,0
SAL20314,Box Hill,14353,381
SAL20315,Box Hill North,12337,425
SAL20316,Box Hill South,8491,425
SAL20317,Boxwood,19,0
SAL20318,Bradford,12,0
SAL20319,Bradvale,46,73
SAL20320,Braeside,25,504
SAL20321,Brandy Creek,94,0
SAL20322,Branxholme,304,170
SAL20323,Bravington,14,0
SAL20324,Braybrook,9682,312
SAL20325,Breakaway Creek,39,168
SAL20326,Breakwater,1060,300
SAL20327,Breamlea,151,389
SAL20328,Brenanah,29,125
SAL20329,Brewster,47,250
SAL20330,Briagolong,1133,250
SAL20331,Briar Hill,3220,411
SAL20332,Bridge Creek,117,200
SAL20333,Bridgewater,133,115
SAL20334,Bridgewater North,54,345
SAL20335,Bridgewater On Loddon,341,215
SAL20336,Bright,2620,300
SAL20337,Brighton,23252,600
SAL20338,Brighton East,16757,600
SAL20339,Brim,181,165
SAL20340,Brimboal,11,0
SAL20341,Brimin,56,225
