sal_code,sal_name,population,median_weekly_rent
SAL20842,Eddington,113,180
SAL20843,Eden Park,1194,381
SAL20844,Edenhope,937,165
SAL20845,Edgecombe,103,0
SAL20846,Edi,60,263
SAL20847,Edi Upper,109,150
SAL20848,Edithvale,6276,429
SAL20849,Eganstown,206,200
SAL20850,Eildon,944,250
SAL20851,Elaine,232,166
SAL20852,Eldorado,382,225
SAL20853,Elevated Plains,39,0
SAL20854,Elingamite,57,0
SAL20855,Elingamite North,118,150
SAL20856,Elizabeth Island,0,0
SAL20857,Ellaswood,206,280
SAL20858,Ellerslie,157,141
SAL20859,Elliminyt,3260,290
SAL20860,Ellinbank,229,225
SAL20861,Elmhurst,185,97
SAL20862,Elmore,847,220
SAL20863,Elphinstone,633,203
SAL20864,Elsternwick,10887,441
SAL20865,Eltham,18847,440
SAL20866,Eltham North,6830,512
SAL20867,Elwood,15153,415
SAL20868,Emerald,5890,400
SAL20869,Emu,37,203
SAL20870,Emu Creek,376,320
SAL20871,Endeavour Hills,24455,375
SAL20872,Enfield,574,285
SAL20873,Englefield,23,0
SAL20874,Enochs Point,3,0
SAL20875,Ensay,155,150
SAL20876,Ensay North,29,0
SAL20877,Eppalock,746,320
SAL20878,Epping,33489,361
SAL20879,Epsom,5014,340
SAL20880,Ercildoune,90,200
SAL20881,Erica,184,203
SAL20882,Errinundra,0,0
SAL20883,Eskdale,238,175
SAL20884,Esmond,17,0
SAL20885,Essendon,21240,380
SAL20886,Essendon Fields,13,0
SAL20887,Essendon North,3071,360
SAL20888,Essendon West,1559,450
SAL20889,Eumemmerring,2285,323
SAL20890,Eurack,43,200
SAL20891,Eureka,633,270
SAL20892,Euroa,3508,250
SAL20893,Eurobin,239,225
SAL20894,Evansford,147,180
SAL20895,Eversley,14,0
SAL20896,Everton,193,210
SAL20897,Everton Upper,154,270
SAL20898,Exford,133,429
SAL20899,Eynesbury,2838,380
SAL20900,Fairbank,52,0
SAL20901,Fairfield,6535,369
SAL20902,Fairhaven,390,340
SAL20903,Fairley,14,0
SAL20904,Fairy Dell,93,265
SAL20905,Fairy Dell,0,0
SAL20906,Falls Creek,326,539
SAL20907,Faraday,194,315
SAL20908,Fawcett,82,425
SAL20909,Fawkner,14274,376
SAL20910,Fentons Creek,27,0
SAL20911,Ferguson,13,220
SAL20912,Fern Hill,125,231
SAL20913,Fernbank,194,200
SAL20914,Ferndale,48,0
SAL20915,Fernihurst,32,0
SAL20916,Fernshaw,0,0
SAL20917,Ferntree Gully,27398,386
SAL20918,Ferny Creek,1524,400
SAL20919,Fiery Flat,28,0
SAL20920,Fingal,637,418
SAL20921,Fish Creek,858,235
SAL20922,Fish Point,11,230
SAL20923,Fiskville,18,100
SAL20924,Fitzroy,10431,451
SAL20925,Fitzroy North,12781,481
SAL20926,Flaggy Creek,104,200
SAL20927,Flagstaff,97,235
SAL20928,Flamingo Beach,0,0
SAL20929,Flemington,7025,300
SAL20930,Flinders,1130,451
SAL20931,Flora Hill,3989,290
SAL20932,Flowerdale,790,286
SAL20933,Flynn,188,258
SAL20934,Flynns Creek,12,0
SAL20935,Footscray,17131,355
SAL20936,Forbes,158,425
SAL20937,Forest Hill,10780,396
SAL20938,Forge Creek,346,220
SAL20939,Forrest,257,290
SAL20940,Foster,2044,240
SAL20941,Foster North,152,385
SAL20942,Fosterville,57,240
SAL20943,Foxhow,31,0
SAL20944,Framlingham,169,140
SAL20945,Framlingham East,25,150
SAL20946,Franklinford,71,500
SAL20947,Frankston,37331,342
SAL20948,Frankston North,5711,315
SAL20949,Frankston South,18801,420
SAL20950,Fraser Rise,9097,431
SAL20951,Freeburgh,136,350
SAL20952,French Island,141,346
SAL20953,Frenchmans,7,0
SAL20954,Freshwater Creek,454,300
SAL20955,Fryerstown,232,275
SAL20956,Fulham,994,133
SAL20957,Fumina,11,0
SAL20958,Fumina South,65,230
SAL20959,Fyans Creek,47,175
SAL20960,Fyansford,1206,485
SAL20961,Gaffneys Creek,3,400
SAL20962,Gainsborough,61,125
SAL20963,Gannawarra,110,100
SAL20964,Gapsted,156,256
SAL20965,Gardenvale,1019,301
SAL20966,Garfield,2114,330
SAL20967,Garfield North,236,387
SAL20968,Garibaldi,131,0
SAL20969,Garvoc,248,200
SAL20970,Gateway Island,0,0
SAL20971,Gatum,35,200
SAL20972,Gazette,42,200
SAL20973,Geelong,5811,370
SAL20974,Geelong West,7345,350
SAL20975,Gelantipy,23,125
SAL20976,Gellibrand,230,235
SAL20977,Gellibrand Lower,19,438
SAL20978,Gelliondale,43,300
SAL20979,Gembrook,2559,360
SAL20980,Genoa,66,0
SAL20981,Gentle Annie,0,0
SAL20982,Georges Creek,75,210
SAL20983,Gerahmin,11,0
SAL20984,Gerang Gerung,65,110
SAL20985,Gerangamete,112,205
SAL20986,Germania,17,200
SAL20987,Germantown,0,0
SAL20988,Gerrigerrup,31,250
SAL20989,Gherang,391,324
SAL20990,Gheringhap,132,460
SAL20991,Ghin Ghin,64,0
SAL20992,Giffard,73,255
SAL20993,Giffard West,72,248
SAL20994,Gil Gil,23,0
SAL20995,Gilderoy,62,550
SAL20996,Gillieston,45,210
SAL20997,Gillum,0,0
SAL20998,Gipsy Point,31,90
SAL20999,Girgarre,563,180
SAL21000,Girgarre East,143,275
SAL21001,Gisborne,10142,423
SAL21002,Gisborne South,854,462
SAL21003,Gladfield,32,225
SAL21004,Gladstone Park,8213,381
SAL21005,Gladysdale,423,300
SAL21006,Glen Alvie,182,243
SAL21007,Glen Creek,59,210
SAL21008,Glen Forbes,118,308
SAL21009,Glen Huntly,4905,391
SAL21010,Glen Iris,26131,450
SAL21011,Glen Park,110,0
SAL21012,Glen Valley,23,0
SAL21013,Glen Waverley,42642,480
SAL21014,Glen Wills,4,0
SAL21015,Glenaire,33,0
SAL21016,Glenaladale,48,100
SAL21017,Glenalbyn,21,280
SAL21018,Glenaroua,208,275
SAL21019,Glenbrae,30,275
SAL21020,Glenburn,443,320
SAL21021,Glendaruel,49,515
SAL21022,Glendonald,12,0
SAL21023,Glenfalloch,0,0
SAL21024,Glenfyne,131,125
SAL21025,Glengarry,1113,270
SAL21026,Glengarry North,215,225
SAL21027,Glengarry West,155,250
SAL21028,Glengower,15,0
SAL21029,Glenhope,66,162
SAL21030,Glenhope East,17,100
SAL21031,Glenisla,23,34
SAL21032,Glenlee,71,185
SAL21033,Glenlofty,11,250
SAL21034,Glenlogie,29,0
SAL21035,Glenloth,7,100
SAL21036,Glenloth East,14,0
SAL21037,Glenluce,17,0
SAL21038,Glenlyon,431,306
SAL21039,Glenmaggie,279,250
SAL21040,Glenmore,75,100
SAL21041,Glenorchy,131,150
SAL21042,Glenormiston North,63,100
SAL21043,Glenormiston South,123,220
SAL21044,Glenpatrick,13,0
SAL21045,Glenrowan,1049,280
SAL21046,Glenrowan West,75,160
SAL21047,Glenroy,23792,369
SAL21048,Glenthompson,256,183
SAL21049,Glomar Beach,21,0
SAL21050,Gnarwarre,297,390
SAL21051,Gnotuk,120,130
SAL21052,Gobarup,45,400
SAL21053,Gobur,102,290
SAL21054,Golden Beach,356,200
SAL21055,Golden Gully,213,315
SAL21056,Golden Point,2217,290
SAL21057,Golden Point,102,300
SAL21058,Golden Square,9220,295
SAL21059,Goldie,253,345
SAL21060,Goldsborough,37,0
SAL21061,Gong Gong,6,0
SAL21062,Gonn Crossing,50,150
SAL21063,Goomalibee,91,200
SAL21064,Goon Nure,137,200
SAL21065,Goongerah,31,104
SAL21066,Gooram,141,165
SAL21067,Gooramadda,62,290
SAL21068,Goorambat,269,190
SAL21069,Goornong,718,245
SAL21070,Gooroc,19,105
SAL21071,Gorae,236,460
SAL21072,Gorae West,237,218
SAL21073,Gordon,1393,320
SAL21074,Gormandale,324,113
SAL21075,Goroke,295,100
SAL21076,Goschen,35,150
SAL21077,Goughs Bay,328,268
SAL21078,Goulburn Weir,90,130
SAL21079,Gowanbrae,2971,445
SAL21080,Gowanford,8,0
SAL21081,Gowangardie,18,0
SAL21082,Gowar East,23,0
SAL21083,Gower,45,300
SAL21084,Grahamvale,685,160
SAL21085,Grampians,0,0
SAL21086,Grand Ridge,10,0
SAL21087,Grangefields,132,480
SAL21088,Granite Rock,261,0
SAL21089,Grantville,1168,300
SAL21090,Granya,88,330
SAL21091,Grassdale,54,0
SAL21092,Grassmere,385,295
SAL21093,Grays Bridge,0,0
SAL21094,Graytown,60,169
SAL21095,Gre Gre,10,0
SAL21096,Gre Gre North,13,50
SAL21097,Gre Gre South,19,0
SAL21098,Great Western,425,200
SAL21099,Gredgwin,13,0
SAL21100,Green Gully,71,163
SAL21101,Greendale,623,375
SAL21102,Greenhill,60,380
SAL21103,Greens Creek,52,0
SAL21104,Greensborough,21070,404
SAL21105,Greenvale,21274,430
SAL21106,Greenwald,58,150
SAL21107,Grenville,113,0
SAL21108,Greta,86,250
SAL21109,Greta South,131,205
SAL21110,Greta West,157,215
SAL21111,Grey River,4,0
SAL21112,Gringegalgona,44,200
SAL21113,Gritjurk,61,0
SAL21114,Grovedale,14869,350
SAL21115,Gruyere,966,296
SAL21116,Guildford,330,250
SAL21117,Gunbower,578,185
SAL21118,Gundowring,208,250
SAL21119,Gunyah,0,0
SAL21120,Guys Forest,20,0
SAL21121,Guys Hill,388,0
SAL21122,Gymbowen,60,90
SAL21123,Haddon,1276,400
SAL21124,Hadfield,6269,370
SAL21125,Hallam,11355,361
SAL21126,Hallora,136,314
SAL21127,Halls Gap,495,250
SAL21128,Hallston,157,1300
SAL21129,Hamilton,10346,235
SAL21130,Hamlyn Heights,6518,345
SAL21131,Hampton,13518,500
SAL21132,Hampton East,5069,400
SAL21133,Hampton Park,26082,351
SAL21134,Hansonville,155,275
SAL21135,Happy Valley,87,150
SAL21136,Happy Valley,75,218
SAL21137,Harcourt,1038,305
SAL21138,Harcourt North,291,285
SAL21139,Harkaway,1011,375
SAL21140,Harkness,12463,350
SAL21141,Harmers Haven,62,200
SAL21142,Harrietville,488,290
SAL21143,Harrow,184,85
SAL21144,Harston,167,230
SAL21145,Hastings,10369,320
SAL21146,Hattah,27,0
SAL21147,Havelock,83,230
SAL21148,Haven,1443,303
SAL21149,Havilah,22,0
SAL21150,Hawkesdale,311,180
SAL21151,Hawkhurst,6,0
SAL21152,Hawthorn,22322,400
SAL21153,Hawthorn East,14834,415
SAL21154,Hazel Park,55,200
SAL21155,Hazelwood,189,203
SAL21156,Hazelwood North,1552,235
SAL21157,Hazelwood South,289,0
SAL21158,Healesville,7589,350
SAL21159,Heath Hill,189,250
SAL21160,Heathcote,2962,255
SAL21161,Heathcote Junction,811,325
SAL21162,Heathcote South,22,320
SAL21163,Heatherton,2826,471
SAL21164,Heathmere,238,200
SAL21165,Heathmont,9933,400
SAL21166,Hedley,108,190
SAL21167,Heidelberg,7360,400
SAL21168,Heidelberg Heights,6758,381
SAL21169,Heidelberg West,5252,306
SAL21170,Hensley Park,75,231
SAL21171,Henty,75,0
SAL21172,Hepburn,631,350
SAL21173,Hepburn Springs,368,341
SAL21174,Herne Hill,3507,270
SAL21175,Hernes Oak,365,100
SAL21176,Hesket,178,200
SAL21177,Hesse,14,200
SAL21178,Hexham,130,175
SAL21179,Heyfield,2050,210
SAL21180,Heytesbury Lower,39,100
SAL21181,Heywood,1815,180
SAL21182,Hiamdale,36,0
SAL21183,Hiawatha,18,200
SAL21184,High Camp,122,300
SAL21185,Highett,12016,430
SAL21186,Highlands,151,158
SAL21187,Highton,20736,360
SAL21188,Hilgay,29,222
SAL21189,Hill End,171,300
SAL21190,Hillcrest,99,0
SAL21191,Hilldene,330,250
SAL21192,Hillside,290,385
SAL21193,Hillside,17331,380
SAL21194,Hinnomunjie,21,0
SAL21195,Hmas Cerberus,1124,260
SAL21196,Hoddles Creek,676,365
SAL21197,Hollands Landing,28,100
SAL21198,Homebush,31,195
SAL21199,Homerton,36,0
SAL21200,Homewood,70,323
SAL21201,Hopetoun,694,150
SAL21202,Hopetoun Park,914,375
SAL21203,Hoppers Crossing,37216,340
SAL21204,Hordern Vale,44,228
SAL21205,Horfield,93,183
SAL21206,Horsham,15134,245
SAL21207,Hotham Heights,128,470
SAL21208,Hotspur,34,150
SAL21209,Howes Creek,67,238
SAL21210,Howitt Plains,0,0
SAL21211,Howqua,158,0
SAL21212,Howqua Hills,5,0
SAL21213,Howqua Inlet,63,294
SAL21214,Hughesdale,7563,416
SAL21215,Humevale,352,330
SAL21216,Hunter,23,0
SAL21217,Hunterston,20,150
SAL21218,Huntingdale,1949,400
SAL21219,Huntly,3585,360
SAL21220,Huntly North,46,220
SAL21221,Huon,206,253
SAL21222,Huon Creek,320,460
SAL21223,Hurstbridge,3554,420
SAL21224,Icy Creek,28,250
SAL21225,Iguana Creek,51,198
SAL21226,Illabarook,41,250
SAL21227,Illawarra,80,300
SAL21228,Illowa,304,380
SAL21229,Indented Head,1391,346
SAL21230,Indigo Valley,346,235
SAL21231,Inglewood,886,200
SAL21232,Ingliston,96,400
SAL21233,Invergordon,601,230
SAL21234,Inverleigh,1746,300
SAL21235,Inverloch,6526,346
SAL21236,Invermay,900,325
SAL21237,Invermay Park,1692,340
SAL21238,Iona,240,250
SAL21239,Iraak,118,192
SAL21240,Irishtown,16,0
SAL21241,Ironbark,1163,275
SAL21242,Irrewarra,365,238
SAL21243,Irrewillipe,100,229
SAL21244,Irrewillipe East,84,238
SAL21245,Irymple,5977,260
SAL21246,Ivanhoe,13374,430
SAL21247,Ivanhoe East,3762,451
SAL21248,Jacana,2187,335
SAL21249,Jack River,161,228
SAL21250,Jackass Flat,1907,340
SAL21251,Jacob Creek,28,0
SAL21252,Jam Jerrup,106,231
SAL21253,Jamieson,382,200
SAL21254,Jan Juc,4151,473
SAL21255,Jancourt,16,150
SAL21256,Jancourt East,185,241
SAL21257,Jarklin,49,0
SAL21258,Jarrahmond,117,238
SAL21259,Jarvis Creek,46,100
SAL21260,Jeeralang,76,0
SAL21261,Jeeralang Junction,584,250
SAL21262,Jeetho,124,295
SAL21263,Jeffcott,34,0
SAL21264,Jeffcott North,18,100
SAL21265,Jeparit,476,120
SAL21266,Jericho,0,0
SAL21267,Jeruk,6,0
SAL21268,Jil Jil,17,0
SAL21269,Jindivick,584,381
SAL21270,Joel Joel,17,160
SAL21271,Joel South,26,75
SAL21272,Johanna,85,200
SAL21273,Johnsonville,326,325
SAL21274,Joyces Creek,20,0
SAL21275,Jumbuk,42,138
SAL21276,Jumbunna,150,225
SAL21277,Junction Village,1051,326
SAL21278,Jungaburra,0,0
SAL21279,Junortoun,3862,380
SAL21280,Kaarimba,93,200
SAL21281,Kadnook,41,290
SAL21282,Kalimna,1350,280
SAL21283,Kalimna West,161,225
SAL21284,Kalkallo,5548,400
SAL21285,Kalkee,48,0
SAL21286,Kallista,1418,347
SAL21287,Kalorama,1277,416
SAL21288,Kalpienung,28,0
SAL21289,Kamarooka,89,205
SAL21290,Kamarooka North,9,0
SAL21291,Kanagulk,28,95
SAL21292,Kancoona,74,200
SAL21293,Kangaroo Flat,11328,285
SAL21294,Kangaroo Ground,1208,383
SAL21295,Kaniva,891,125
SAL21296,Kanumbra,53,120
SAL21297,Kanya,17,0
SAL21298,Kanyapella,51,205
SAL21299,Karabeal,29,0
SAL21300,Kardella,169,0
SAL21301,Kardella South,135,325
SAL21302,Kariah,94,163
SAL21303,Karnak,9,92
SAL21304,Karramomus,40,225
SAL21305,Karyrie,15,230
SAL21306,Katamatite,453,185
SAL21307,Katamatite East,30,200
SAL21308,Katandra,120,170
SAL21309,Katandra West,492,195
SAL21310,Katunga,1025,240
SAL21311,Kawarren,189,165
SAL21312,Kealba,3226,370
SAL21313,Keely,57,110
SAL21314,Keilor,5906,400
SAL21315,Keilor Downs,9857,360
SAL21316,Keilor East,15078,406
SAL21317,Keilor Lodge,1668,421
SAL21318,Keilor North,67,300
SAL21319,Keilor Park,2684,392
SAL21320,Kellalac,13,79
SAL21321,Kelvin View,76,300
SAL21322,Kenley,64,73
SAL21323,Kenmare,3,0
SAL21324,Kennedys Creek,44,120
SAL21325,Kennett River,74,320
SAL21326,Kennington,5880,290
SAL21327,Kensington,10745,416
SAL21328,Kerang,3960,200
SAL21329,Kerang East,44,180
SAL21330,Kergunyah,232,115
SAL21331,Kergunyah South,76,400
SAL21332,Kernot,118,140
SAL21333,Kerrie,83,210
SAL21334,Kerrisdale,86,138
SAL21335,Kevington,36,0
SAL21336,Kew,24499,476
SAL21337,Kew East,6620,471
SAL21338,Kewell,57,211
SAL21339,Keysborough,30018,421
SAL21340,Kialla,8667,380
SAL21341,Kialla East,170,250
SAL21342,Kialla West,415,261
SAL21343,Kiata,64,0
SAL21344,Kiewa,483,290
SAL21345,Kilcunda,578,315
SAL21346,Killara,9,100
SAL21347,Killara,1485,400
SAL21348,Killarney,195,300
SAL21349,Killawarra,391,200
SAL21350,Killingworth,156,231
SAL21351,Kilmany,165,210
SAL21352,Kilmore,9207,340
SAL21353,Kilmore East,450,248
SAL21354,Kilsyth,11699,391
SAL21355,Kilsyth South,2862,426
SAL21356,Kimbolton,96,250
SAL21357,King Valley,87,325
SAL21358,Kinglake,1662,300
SAL21359,Kinglake Central,413,330
SAL21360,Kinglake West,1305,360
SAL21361,Kingower,46,0
SAL21362,Kings Park,8203,321
SAL21363,Kingsbury,3460,361
SAL21364,Kingston,190,230
SAL21365,Kingsville,3920,355
SAL21366,Kinnabulla,26,58
SAL21367,Kinypanial,12,200
SAL21368,Kirkstall,406,270
SAL21369,Kirwans Bridge,134,330
SAL21370,Kithbrook,67,175
SAL21371,Knebsworth,22,0
SAL21372,Knockwood,0,0
SAL21373,Knowsley,168,315
SAL21374,Knoxfield,7645,421
SAL21375,Koallah,28,210
SAL21376,Koetong,26,305
SAL21377,Kolora,188,180
SAL21378,Kongwak,207,138
SAL21379,Konongwootong,60,300
SAL21380,Koo Wee Rup,4047,320
SAL21381,Koo Wee Rup North,47,42
SAL21382,Kooloonong,19,0
SAL21383,Koonda,26,0
SAL21384,Koondrook,1101,200
SAL21385,Koonoomoo,305,200
SAL21386,Koonwarra,366,252
SAL21387,Kooreh,29,0
SAL21388,Koorlong,397,280
SAL21389,Koornalla,89,0
SAL21390,Kooroocheang,41,0
SAL21391,Koorool,0,0
SAL21392,Koorooman,115,330
SAL21393,Kooyong,842,590
SAL21394,Koriella,66,250
SAL21395,Korobeit,75,378
SAL21396,Koroit,2184,280
SAL21397,Korong Vale,143,130
SAL21398,Koroop,63,160
SAL21399,Korumburra,4749,270
SAL21400,Korumburra South,114,225
SAL21401,Korweinguboora,196,175
SAL21402,Kotta,134,170
SAL21403,Kotupna,132,83
SAL21404,Koyuga,355,115
SAL21405,Krowera,134,225
SAL21406,Kulwin,16,150
SAL21407,Kunat,45,120
SAL21408,Kurraca,5,300
SAL21409,Kurraca West,0,0
SAL21410,Kurting,61,230
SAL21411,Kurunjang,10711,321
SAL21412,Kyabram,7416,220
SAL21413,Kyabram South,69,175
SAL21414,Kyneton,7513,360
SAL21415,Kyneton South,116,282
SAL21416,Kyvalley,363,150
SAL21417,Laanecoorie,179,1550
SAL21418,Laang,115,170
SAL21419,Labertouche,386,411
SAL21420,Laceby,304,250
SAL21421,Ladys Pass,118,400
SAL21422,Laen,4,0
SAL21423,Laen East,6,135
SAL21424,Laen North,14,0
SAL21425,Lah,57,0
SAL21426,Laharum,162,185
SAL21427,Lake Boga,982,200
SAL21428,Lake Bolac,368,150
SAL21429,Lake Bunga,408,280
SAL21430,Lake Charm,147,188
SAL21431,Lake Condah,9,0
SAL21432,Lake Eildon,3,0
SAL21433,Lake Eppalock,0,0
SAL21434,Lake Fyans,23,300
SAL21435,Lake Gardens,1801,360
SAL21436,Lake Goldsmith,22,1
SAL21437,Lake Lonsdale,58,50
SAL21438,Lake Marmal,21,0
SAL21439,Lake Meran,22,130
SAL21440,Lake Mundi,37,180
SAL21441,Lake Powell,86,130
SAL21442,Lake Rowan,70,0
SAL21443,Lake Tyers,4,0
SAL21444,Lake Tyers Beach,802,275
SAL21445,Lake Tyrrell,0,0
SAL21446,Lake Wellington,0,0
SAL21447,Lake Wendouree,2878,321
SAL21448,Lake Wongan,3,0
SAL21449,Lakes Entrance,5145,252
SAL21450,Lal Lal,621,290
SAL21451,Lalbert,138,168
SAL21452,Lalor,23219,351
SAL21453,Lamplough,49,140
SAL21454,Lancaster,398,200
SAL21455,Lance Creek,143,200
SAL21456,Lancefield,2743,360
SAL21457,Landsborough,200,210
SAL21458,Landsborough West,49,160
SAL21459,Lang Lang,2556,310
SAL21460,Lang Lang East,94,300
SAL21461,Langdons Hill,23,0
SAL21462,Langi Kal Kal,336,135
SAL21463,Langi Logan,23,175
SAL21464,Langkoop,100,110
SAL21465,Langley,52,0
SAL21466,Langsborough,100,283
SAL21467,Langwarrin,23588,365
SAL21468,Langwarrin South,1346,346
SAL21469,Lara,19014,370
SAL21470,Lardner,110,373
SAL21471,Larpent,200,260
SAL21472,Lascelles,82,100
SAL21473,Launching Place,2495,350
SAL21474,Lauriston,247,320
SAL21475,Lavers Hill,87,100
SAL21476,Laverton,4760,330
SAL21477,Laverton North,119,240
SAL21478,Lawler,16,0
SAL21479,Lawloit,14,0
SAL21480,Lawrence,8,0
SAL21481,Leaghur,20,0
SAL21482,Learmonth,396,175
SAL21483,Ledcourt,43,195
SAL21484,Leichardt,167,215
SAL21485,Leigh Creek,65,260
SAL21486,Leitchville,576,150
SAL21487,Lemnos,251,270
SAL21488,Leneva,1317,390
SAL21489,Leonards Hill,47,288
SAL21490,Leongatha,5869,270
SAL21491,Leongatha North,141,245
SAL21492,Leongatha South,616,240
SAL21493,Leopold,13272,375
SAL21494,Lerderderg,0,0
SAL21495,Leslie Manor,66,150
SAL21496,Lethbridge,1181,350
SAL21497,Lexton,284,200
SAL21498,Licola,7,20
SAL21499,Licola North,9,0
SAL21500,Lillico,94,200
SAL21501,Lillicur,85,210
SAL21502,Lillimur,112,123
SAL21503,Lilliput,84,300
SAL21504,Lilydale,17348,369
SAL21505,Lima,92,200
SAL21506,Lima East,165,275
SAL21507,Lima South,142,300
SAL21508,Limestone,121,150
SAL21509,Lindenow,527,260
SAL21510,Lindenow South,475,280
SAL21511,Lindsay,9,0
SAL21512,Lindsay Point,32,100
SAL21513,Linga,13,0
SAL21514,Linton,635,300
SAL21515,Liparoo,33,138
SAL21516,Lismore,472,140
SAL21517,Litchfield,36,110
SAL21518,Little Desert,5,0
SAL21519,Little Hampton,74,275
SAL21520,Little River,1353,427
SAL21521,Llanelly,62,0
SAL21522,Llowalong,42,0
SAL21523,Loch,707,325
SAL21524,Loch Sport,1021,180
SAL21525,Loch Valley,0,0
SAL21526,Lockington,850,200
SAL21527,Locksley,131,265
SAL21528,Lockwood,806,275
SAL21529,Lockwood South,1052,320
SAL21530,Loddon Vale,24,0
SAL21531,Logan,59,200
SAL21532,Londrigan,159,0
SAL21533,Long Forest,343,520
SAL21534,Long Gully,3420,250
SAL21535,Longerenong,237,160
SAL21536,Longford,1489,274
SAL21537,Longlea,570,210
SAL21538,Longwarry,2436,330
SAL21539,Longwarry North,230,220
SAL21540,Longwood,263,261
SAL21541,Longwood East,131,175
SAL21542,Lorne,1327,363
SAL21543,Lorquon,8,0
SAL21544,Lovely Banks,2782,350
SAL21545,Lower Moira,30,0
SAL21546,Lower Norton,236,248
SAL21547,Lower Plenty,3962,400
SAL21548,Loy Yang,7,0
SAL21549,Lubeck,40,188
SAL21550,Lucas,2994,380
SAL21551,Lucknow,1439,290
SAL21552,Lucyvale,25,0
SAL21553,Lurg,220,157
SAL21554,Lynbrook,9121,401
SAL21555,Lyndhurst,8926,430
SAL21556,Lyons,31,165
SAL21557,Lyonville,189,310
SAL21558,Lysterfield,6681,435
SAL21559,Lysterfield South,994,640
SAL21560,Macarthur,469,158
SAL21561,Macclesfield,878,289
SAL21562,Macedon,2073,371
SAL21563,Macks Creek,35,310
SAL21564,Macleod,9892,396
SAL21565,Macorna,67,125
SAL21566,Macorna North,31,173
SAL21567,Macs Cove,121,206
SAL21568,Madalya,21,0
SAL21569,Maddingley,5491,366
SAL21570,Mafeking,20,0
SAL21571,Maffra,5384,250
SAL21572,Maffra West Upper,73,390
SAL21573,Magpie,368,270
SAL21574,Maiden Gully,5407,380
SAL21575,Maidstone,9389,381
SAL21576,Mailors Flat,490,230
SAL21577,Main Lead,42,175
SAL21578,Main Ridge,453,354
SAL21579,Maindample,239,303
SAL21580,Maintongoon,75,0
SAL21581,Major Plains,36,0
SAL21582,Majorca,198,100
SAL21583,Maldon,1665,268
SAL21584,Mallacoota,1183,221
SAL21585,Malmsbury,905,350
SAL21586,Malvern,9929,450
SAL21587,Malvern East,22296,421
SAL21588,Mambourin,315,363
SAL21589,Manangatang,274,130
SAL21590,Mandurang,753,310
SAL21591,Mandurang South,280,320
SAL21592,Mangalore,183,274
SAL21593,Manifold Heights,2681,310
SAL21594,Mannerim,108,490
SAL21595,Mannibadar,65,175
SAL21596,Manns Beach,29,0
SAL21597,Manor Lakes,12675,360
SAL21598,Manorina,7,0
SAL21599,Mansfield,5541,331
SAL21600,Maramingo Creek,6,0
SAL21601,Marcus Hill,164,300
SAL21602,Mardan,248,277
SAL21603,Marengo,272,282
SAL21604,Maribyrnong,12573,396
SAL21605,Marionvale,116,265
SAL21606,Markwood,230,230
SAL21607,Marlbed,6,0
SAL21608,Marlo,602,250
SAL21609,Marnoo,99,130
SAL21610,Marnoo East,6,0
SAL21611,Marnoo West,11,0
SAL21612,Marong,2005,350
SAL21613,Maroona,80,145
SAL21614,Marraweeney,77,250
SAL21615,Marshall,2299,390
SAL21616,Marthavale,0,0
SAL21617,Marungi,98,200
SAL21618,Maryborough,8160,240
SAL21619,Maryknoll,646,96
SAL21620,Marysville,501,300
SAL21621,Maryvale,43,105
SAL21622,Massey,23,0
SAL21623,Matlock,7,0
SAL21624,Maude,211,480
SAL21625,McCrae,3311,392
SAL21626,McIntyre,47,0
SAL21627,McKenzie Creek,140,250
SAL21628,McKenzie Hill,775,409
SAL21629,McKinnon,6878,516
SAL21630,McLoughlins Beach,121,215
SAL21631,McMahons Creek,143,260
SAL21632,McMillans,87,150
SAL21633,Mead,102,200
SAL21634,Meadow Creek,112,40
SAL21635,Meadow Heights,14890,346
SAL21636,Meatian,19,100
SAL21637,Meeniyan,840,250
SAL21638,Meering West,12,0
SAL21639,Meerlieu,90,166
SAL21640,Melbourne,54941,381
SAL21641,Melbourne Airport,64,0
SAL21642,Melton,7953,300
SAL21643,Melton South,11362,300
SAL21644,Melton West,8784,320
SAL21645,Melville Forest,63,150
SAL21646,Melwood,17,245
SAL21647,Mena Park,32,100
SAL21648,Mentone,13197,392
SAL21649,Menzies Creek,966,388
SAL21650,Mepunga,36,320
SAL21651,Mepunga East,73,180
SAL21652,Mepunga West,83,290
SAL21653,Merbein,2770,210
SAL21654,Merbein South,407,285
SAL21655,Merbein West,223,150
SAL21656,Meredith,821,300
SAL21657,Meringur,70,50
SAL21658,Merino,249,100
SAL21659,Mernda,23369,381
SAL21660,Merriang,182,300
SAL21661,Merriang South,43,270
SAL21662,Merricks,184,258
SAL21663,Merricks Beach,157,436
SAL21664,Merricks North,423,258
SAL21665,Merrigum,679,180
SAL21666,Merrijig,0,0
SAL21667,Merrijig,721,320
SAL21668,Merrimu,397,100
SAL21669,Merrinee,42,50
SAL21670,Merton,216,200
SAL21671,Metcalfe,190,311
SAL21672,Metcalfe East,25,480
SAL21673,Metung,1899,346
SAL21674,Mia Mia,213,240
SAL21675,Mickleham,17452,400
SAL21676,Middle Creek,22,120
SAL21677,Middle Park,4000,602
SAL21678,Middle Tarwin,91,180
SAL21679,Miepoll,223,270
SAL21680,Miga Lake,33,0
SAL21681,Milawa,588,304
SAL21682,Mildura,34565,280
