SAL20342,80,115
SAL20343,6,0
SAL20344,42,140
SAL20345,4592,314
SAL20346,12524,331
SAL20347,75,115
SAL20348,29,735
SAL20349,45,70
SAL20350,46,0
SAL20351,10782,350
SAL20352,1979,391
SAL20353,16,100
SAL20354,213,200
SAL20355,65,0
SAL20356,4489,290
SAL20357,99,200
SAL20358,114,250
SAL20359,127,100
SAL20360,0,0
SAL20361,24896,441
SAL20362,13279,421
SAL20363,14746,366
SAL20364,820,250
SAL20365,112,210
SAL20366,201,158
SAL20367,102,125
SAL20368,156,275
SAL20369,228,360
SAL20370,21,115
SAL20371,52,100
SAL20372,0,0
SAL20373,146,100
SAL20374,0,0
SAL20375,284,260
SAL20376,285,130
SAL20377,104,250
SAL20378,5,0
SAL20379,0,0
SAL20380,19,0
SAL20381,668,348
SAL20382,19,330
SAL20383,77,245
SAL20384,89,350
SAL20385,48,0
SAL20386,11219,459
SAL20387,714,300
SAL20388,63,250
SAL20389,45,315
SAL20390,551,258
SAL20391,182,250
SAL20392,101,285
SAL20393,313,275
SAL20394,229,233
SAL20395,512,350
SAL20396,42,285
SAL20397,0,0
SAL20398,61,450
SAL20399,28068,381
SAL20400,63,160
SAL20401,65,200
SAL20402,32,348
SAL20403,93,200
SAL20404,302,245
SAL20405,29,0
SAL20406,44,210
SAL20407,0,0
SAL20408,18,375
SAL20409,3797,305
SAL20410,270,335
SAL20411,3131,320
SAL20412,95,414
SAL20413,0,0
SAL20414,14,0
SAL20415,20,0
SAL20416,47,165
SAL20417,37,340
SAL20418,794,440
SAL20419,5800,400
SAL20420,6377,411
SAL20421,36,0
SAL20422,241,253
SAL20423,24,291
SAL20424,24,0
SAL20425,249,135
SAL20426,15147,411
SAL20427,10675,439
SAL20428,596,350
SAL20429,49,300
SAL20430,7,0
SAL20431,591,348
SAL20432,129,110
SAL20433,134,325
SAL20434,160,300
SAL20435,117,210
SAL20436,161,230
SAL20437,482,250
SAL20438,10,200
SAL20439,52,250
SAL20440,25,0
SAL20441,10038,400
SAL20442,0,0
SAL20443,181,269
SAL20444,4476,251
SAL20445,178,100
SAL20446,45,190
SAL20447,391,200
SAL20448,42,270
SAL20449,10,145
SAL20450,30,178
SAL20451,186,263
SAL20452,0,0
SAL20453,21965,486
SAL20454,292,260
SAL20455,4977,320
SAL20456,21,175
SAL20457,2071,320
SAL20458,50,220
SAL20459,51,200
SAL20460,3354,240
SAL20461,4098,300
SAL20462,4,0
SAL20463,82,260
SAL20464,197,120
SAL20465,16,110
SAL20466,650,313
SAL20467,45,110
SAL20468,7800,515
SAL20469,151,283
SAL20470,148,180
SAL20471,5,250
SAL20472,34,351
SAL20473,1111,300
SAL20474,569,359
SAL20475,2301,340
SAL20476,5246,350
SAL20477,54,175
SAL20478,61,175
SAL20479,3,0
SAL20480,256,150
SAL20481,60,160
SAL20482,40,0
SAL20483,67,120
SAL20484,97,120
SAL20485,1064,350
SAL20486,957,300
SAL20487,342,390
SAL20488,847,200
SAL20489,38,0
SAL20490,26,85
SAL20491,16,185
SAL20492,1192,223
SAL20493,168,200
SAL20494,382,275
SAL20495,16055,365
SAL20496,6177,552
SAL20497,82,200
SAL20498,17909,395
SAL20499,171,180
SAL20500,24488,400
SAL20501,115,200
SAL20502,100,250
SAL20503,129,250
SAL20504,42,0
SAL20505,43,120
SAL20506,18,0
SAL20507,4239,406
SAL20508,21976,370
SAL20509,68,118
SAL20510,197,200
SAL20511,21,0
SAL20512,257,420
SAL20513,1673,160
SAL20514,85,430
SAL20515,139,250
