"17854","5-Melbourne Central Station/Elizabeth St (Melbourne City)","-37.8105584510329","144.961429251208"
"17856","7-Queen Victoria Market/Elizabeth St (Melbourne City)","-37.8065611461448","144.959574202514"
"17857","8-Peel St/Victoria St (Melbourne City)","-37.8059352033189","144.956218050354"
"17858","9-William St/Victoria St (Melbourne City)","-37.8056878135839","144.953907809577"
"17859","10-Chetwynd St/Victoria St (Melbourne City)","-37.8055172520089","144.952390529959"
"17860","11-Errol St/Victoria St (Melbourne City)","-37.8051956671457","144.949446316709"
"17861","11-Victoria St/Errol St (North Melbourne)","-37.804959497497","144.949339269251"
"17862","10-Chetwynd St/Victoria St (Melbourne City)","-37.8054028453396","144.952030231038"
"17863","9-Howard St/Victoria St (Melbourne City)","-37.8055636148477","144.953502345242"
"17864","8-Peel St/Victoria St (Melbourne City)","-37.8058098299096","144.955744464068"
"17866","9-Pelham St/Elizabeth St (Melbourne City)","-37.8019465824166","144.957463766369"
"17867","10-Royal Melbourne Hospital/Royal Pde (Melbourne City)","-37.7999005097903","144.957440632021"
"17868","10-Royal Melbourne Hospital/Royal Pde (Parkville)","-37.7995799817771","144.957665248981"
"17869","9-Pelham St/Elizabeth St (Melbourne City)","-37.8021482906617","144.957662646183"
"17871","7-Queen Victoria Market/Elizabeth St (Melbourne City)","-37.8068903326314","144.959849099642"
"17873","5-Melbourne Central Station/Elizabeth St (Melbourne City)","-37.8111051886903","144.961777700547"
"17875","3-Bourke Street Mall/Elizabeth St (Melbourne City)","-37.8140393577515","144.963128291711"
"17876","2-Collins St/Elizabeth St (Melbourne City)","-37.815928818966","144.963996494564"
"17877","1-Flinders Street Railway Station/Elizabeth St (Melbourne City)","-37.8178989492806","144.964839803919"
"17878","11-Melbourne Museum/Nicholson St (Fitzroy)","-37.8057579934045","144.973600940288"
"17880","10-Albert St/Nicholson St (Fitzroy)","-37.8096759024817","144.972948608293"
"17882","9-Spring St/Bourke St (Melbourne City)","-37.8115439967396","144.972579462043"
"17885","3-William St/Bourke St (Melbourne City)","-37.8157063305403","144.957913812583"
"17886","4-Queen St/Bourke St (Melbourne City)","-37.8151216206834","144.960054170574"
"17887","5-Elizabeth St/Bourke St (Melbourne City)","-37.8140309654996","144.963685134904"
"17888","6-Swanston St/Bourke St (Melbourne City)","-37.8132664041853","144.966375584494"
"17889","7-Russell St/Bourke St (Melbourne City)","-37.812467512058","144.969169152948"
"1789","50-Anderson St/Wattletree Rd (Malvern East)","-37.8643850684538","145.04371198053"
"17891","9-Spring St/Bourke St (Melbourne City)","-37.8115230492531","144.972409649013"
"17892","10-Albert St/Nicholson St (East Melbourne)","-37.8094227142082","144.972898738855"
"17894","11-Melbourne Museum/Nicholson St (Fitzroy)","-37.8056759486544","144.973546392177"
"17895","12-St Vincents Plaza/Victoria Pde (East Melbourne)","-37.8082797817044","144.976133114639"
"17896","11-Albert St/Gisborne St (East Melbourne)","-37.8093902785535","144.975727953801"
"17897","10-Parliament Railway Station/Macarthur St (East Melbourne)","-37.8123788849635","144.974487687436"
"17898","8-Spring St/Collins St (Melbourne City)","-37.8135567646737","144.973285477789"
"17901","6-Melbourne Town Hall/Collins St (Melbourne City)","-37.8156743324445","144.96595735414"
"17902","5-Elizabeth St/Collins St (Melbourne City)","-37.8164232231053","144.963403560134"
"17903","3-William St/Collins St (Melbourne City)","-37.8176070447224","144.959429108104"
"17905","1-Spencer St/Collins St (Melbourne City)","-37.8188468786129","144.955055379167"
"17906","1-Spencer St/Collins St (Melbourne City)","-37.8187409587459","144.955183264106"
"17908","3-William St/Collins St (Melbourne City)","-37.8173721073332","144.959912695737"
"17910","5-Elizabeth St/Collins St (Melbourne City)","-37.816205891018","144.963863924244"
"17911","6-Melbourne Town Hall/Collins St (Melbourne City)","-37.8155176891811","144.966279724644"
"17914","8-Spring St/Collins St (Melbourne City)","-37.813415966229","144.973482437481"
"17915","10-Parliament Railway Station/Macarthur St (East Melbourne)","-37.8121695630757","144.974368457376"
"17917","46-Rosamond Rd/Raleigh Rd (Maribyrnong)","-37.7688871740039","144.886728521299"
"17918","48-Raleigh Rd/Wests Rd (Maribyrnong)","-37.7696369311399","144.882813269946"
"17919","49-Highpoint Shopping Centre/Wests Rd (Maribyrnong)","-37.7731040767871","144.882180771024"
"17920","50-Wests Rd/Williamson Rd (Maribyrnong)","-37.7752121401669","144.882143317617"
"17921","51-Williamson Rd/Rosamond Rd (Maidstone)","-37.7760397198051","144.885571153738"
"17922","52-Rosamond Rd/River St (Maribyrnong)","-37.7793321963174","144.885749826094"
"17923","53-Maribyrnong College/River St (Maribyrnong)","-37.7795940236457","144.887786089037"
"17924","54-Gordon St/River St (Maribyrnong)","-37.7800018357988","144.890930915908"
"17925","55-Lyric St/Gordon St (Maribyrnong)","-37.7822406804958","144.891151132567"
"17926","56-Edgewater Square/Gordon St (Maribyrnong)","-37.7848982492976","144.890598682874"
"17927","57-Titch St/Gordon St (Footscray)","-37.7886440453575","144.889924389874"
"17928","58-Ballarat Rd/Gordon St (Footscray)","-37.7904757982524","144.889554318125"
